Ticker,Instrument,AdjFactor,Exchange,Open,High,Low,Close,Volume,Turnover,OpenInt,Settlement,MarginShort,MarginLong,MarketType,Multiplier,TickSize,DelistDate,LimitUp,LimitDown,ListDate,DeliveryMonth
a,a2305,1.0,DCE,5498.0,5504.0,5469.0,5473.0,73725,4044743500,145453,5486.0,0.12,0.12,6,10,1.0,20230517,5961.0,5079.0,20220519,202305
ag,ag2306,1.0,SHFE,4971.0,4982.0,4944.0,4948.0,435238,32416495305,614980,4965.0,0.12,0.12,3,15,1.0,20230615,5447.0,4456.0,20220616,202306
al,al2304,1.0,SHFE,18540.0,18735.0,18515.0,18610.0,132358,12336798225,190128,18640.0,0.12,0.12,4,5,5.0,20230417,20525.0,16790.0,20220418,202304
AP,AP305,1.0,CZCE,9105.0,9178.0,9046.0,9080.0,122956,1117301172,207445,9087.0,0.1,0.1,2,10,1.0,20230517,9887.0,8253.0,20220519,202305
au,au2304,1.0,SHFE,419.52,419.52,418.12,418.82,42751,17905250960,61962,418.82,0.1,0.1,3,1000,0.02,20230417,450.32,383.62,20220316,202304
b,b2304,1.0,DCE,4536.0,4583.0,4517.0,4554.0,44548,2027618380,38523,4551.0,0.09,0.09,6,10,1.0,20230417,4918.0,4190.0,20220419,202304
bb,bb2303,1.0,DCE,,,,400.0,0,0,0,400.0,0.4,0.4,2,500,0.05,20230314,440.0,360.0,20220315,202303
bc,bc2305,1.0,SHFE,61600.0,62950.0,61350.0,62150.0,8501,2640290800,13133,62110.0,0.12,0.12,4,5,10.0,20230515,68240.0,55830.0,20220517,202305
bu,bu2306,1.0,SHFE,3892.0,3952.0,3868.0,3914.0,283343,11088571510,366497,3913.0,0.15,0.15,6,10,1.0,20230615,4421.0,3404.0,20210616,202306
c,c2305,1.0,DCE,2824.0,2856.0,2824.0,2847.0,252973,7187066520,655879,2841.0,0.12,0.12,6,10,1.0,20230517,3066.0,2612.0,20220519,202305
CF,CF305,1.0,CZCE,14670.0,14730.0,14530.0,14665.0,342401,5016174650,659057,14650.0,0.07,0.07,6,5,5.0,20230517,15575.0,13805.0,20220519,202305
CJ,CJ305,1.0,CZCE,10255.0,10310.0,10225.0,10295.0,15700,161317500,58633,10275.0,0.12,0.12,2,5,5.0,20230517,11255.0,9205.0,20220519,202305
cs,cs2305,1.0,DCE,3046.0,3093.0,3040.0,3084.0,129738,3979915520,193852,3067.0,0.09,0.09,6,10,1.0,20230517,3273.0,2845.0,20220519,202305
cu,cu2304,1.0,SHFE,69110.0,69800.0,69050.0,69590.0,51218,17814463800,147482,69560.0,0.12,0.12,4,5,10.0,20230417,76470.0,62560.0,20220418,202304
CY,CY305,1.0,CZCE,21855.0,22020.0,21660.0,21820.0,3986,87094100,3145,21850.0,0.07,0.07,6,5,5.0,20230517,23255.0,20615.0,20220519,202305
eb,eb2304,1.0,DCE,8512.0,8647.0,8491.0,8566.0,182612,7842892055,149458,8589.0,0.12,0.12,6,5,1.0,20230425,9372.0,7668.0,20220427,202304
eg,eg2305,1.0,DCE,4288.0,4316.0,4258.0,4268.0,282222,12088225730,372688,4283.0,0.12,0.12,6,10,1.0,20230526,4713.0,3857.0,20220527,202305
fb,fb2305,1.0,DCE,1250.5,1253.0,1246.5,1246.5,1200,15000720,2067,1250.0,0.1,0.1,2,10,0.5,20230517,1311.0,1187.0,20220519,202305
FG,FG305,1.0,CZCE,1582.0,1596.0,1577.0,1588.0,884729,1404064923,968548,1587.0,0.09,0.09,6,20,1.0,20230517,1679.0,1429.0,20220519,202305
fu,fu2305,1.0,SHFE,3023.0,3094.0,3013.0,3063.0,1000583,30586399960,386959,3056.0,0.15,0.15,6,10,1.0,20230428,3431.0,2642.0,20220505,202305
hc,hc2305,1.0,SHFE,4325.0,4365.0,4317.0,4343.0,318023,13808038760,869609,4341.0,0.13,0.13,6,10,1.0,20230515,4802.0,3851.0,20220517,202305
i,i2305,1.0,DCE,900.0,914.0,894.0,909.5,483110,43716305000,855327,904.5,0.13,0.13,6,100,0.5,20230517,996.0,799.0,20220519,202305
IC,IC2303,1.0,CFFEX,6364.0,6375.0,6275.0,6276.6,53463,67719472080,122933,6294.2,0.14,0.14,11,200,0.2,20230317,7005.6,5732.0,20220718,202303
IF,IF2303,1.0,CFFEX,4097.4,4125.2,4044.6,4047.2,82731,101491127760,110995,4056.6,0.12,0.12,11,300,0.2,20230317,4517.0,3695.8,20220718,202303
IH,IH2303,1.0,CFFEX,2741.0,2763.8,2710.0,2713.0,58951,48469235940,75514,2719.0,0.12,0.12,11,300,0.2,20230317,3021.8,2472.6,20220718,202303
IM,IM2303,1.0,CFFEX,6950.8,6963.4,6844.8,6846.8,43995,60770771280,67075,6868.0,0.15,0.15,11,200,0.2,20230317,7658.2,6265.8,20220722,202303
j,j2305,1.0,DCE,2926.0,2943.5,2894.5,2912.5,31089,9077407800,41035,2919.5,0.2,0.2,6,100,0.5,20230517,3362.0,2485.0,20220519,202305
jd,jd2305,1.0,DCE,4373.0,4422.0,4362.0,4396.0,85847,3769364460,119239,4390.0,0.09,0.09,2,10,1.0,20230526,4715.0,4017.0,20220527,202305
jm,jm2305,1.0,DCE,1980.0,1998.0,1965.0,1973.5,45333,5390561190,83498,1981.5,0.2,0.2,6,60,0.5,20230517,2284.0,1689.0,20220519,202305
JR,JR303,1.0,CZCE,,,,,0,0,0,2662.0,0.2,0.2,2,20,1.0,20230314,3035.0,2289.0,20220315,202303
l,l2305,1.0,DCE,8313.0,8359.0,8286.0,8307.0,270219,11243898535,401279,8322.0,0.11,0.11,6,5,1.0,20230517,8989.0,7659.0,20220519,202305
lh,lh2305,1.0,DCE,16830.0,16895.0,16670.0,16825.0,18619,5003531120,50651,16795.0,0.15,0.15,2,16,5.0,20230526,18295.0,15585.0,20220527,202305
LR,LR303,1.0,CZCE,,,,,0,0,0,2360.0,0.2,0.2,2,20,1.0,20230314,2691.0,2029.0,20220315,202303
lu,lu2305,1.0,SHFE,4043.0,4218.0,4043.0,4171.0,98763,4088971270,26883,4140.0,0.15,0.15,6,10,1.0,20230428,4545.0,3500.0,20220505,202305
m,m2305,1.0,DCE,3782.0,3831.0,3776.0,3806.0,622984,23721706780,1215890,3807.0,0.1,0.1,6,10,1.0,20230517,4079.0,3475.0,20220519,202305
MA,MA305,1.0,CZCE,2600.0,2630.0,2588.0,2615.0,1340271,3502128123,1291349,2613.0,0.08,0.08,6,10,1.0,20230517,2775.0,2411.0,20220519,202305
ni,ni2304,1.0,SHFE,188620.0,191440.0,187630.0,188780.0,106660,20212408370,74471,189500.0,0.19,0.19,4,1,10.0,20230417,221660.0,157250.0,20220418,202304
nr,nr2305,1.0,SHFE,10135.0,10175.0,10070.0,10125.0,20724,2101160400,54232,10135.0,0.1,0.1,6,10,5.0,20230515,10960.0,9335.0,20220517,202305
OI,OI305,1.0,CZCE,9820.0,9831.0,9754.0,9768.0,335555,3286761225,275517,9795.0,0.09,0.09,6,10,1.0,20230517,10738.0,9146.0,20220519,202305
p,p2305,1.0,DCE,8244.0,8262.0,8180.0,8202.0,505941,41599810880,471361,8222.0,0.12,0.12,6,10,2.0,20230517,9160.0,7496.0,20220519,202305
pb,pb2304,1.0,SHFE,15280.0,15300.0,15245.0,15285.0,37449,2860071200,61217,15270.0,0.14,0.14,4,5,5.0,20230417,17110.0,13445.0,20220418,202304
PF,PF304,1.0,CZCE,7318.0,7408.0,7312.0,7348.0,113363,834578406,72346,7362.0,0.08,0.08,6,5,2.0,20230417,7816.0,6792.0,20220419,202304
pg,pg2304,1.0,DCE,5055.0,5149.0,5028.0,5119.0,94730,9648998700,63757,5092.0,0.13,0.13,6,20,1.0,20230425,5642.0,4524.0,20220427,202304
PK,PK304,1.0,CZCE,11138.0,11198.0,11066.0,11092.0,100606,1119141144,106899,11124.0,0.08,0.08,2,5,2.0,20230417,11930.0,10366.0,20220419,202304
PM,PM303,1.0,CZCE,,,,,0,0,0,3122.0,0.2,0.2,2,50,1.0,20230314,3560.0,2684.0,20220315,202303
pp,pp2305,1.0,DCE,7870.0,7925.0,7855.0,7857.0,388360,15318101130,427834,7888.0,0.11,0.11,6,5,1.0,20230517,8500.0,7242.0,20220519,202305
rb,rb2305,1.0,SHFE,4212.0,4273.0,4199.0,4248.0,1464187,62066480650,2048392,4238.0,0.13,0.13,6,10,1.0,20230515,4676.0,3749.0,20220517,202305
RI,RI303,1.0,CZCE,,,,,0,0,0,2479.0,0.2,0.2,2,20,1.0,20230314,2827.0,2131.0,20220315,202303
RM,RM305,1.0,CZCE,3043.0,3089.0,3043.0,3067.0,428147,1313983143,479534,3069.0,0.09,0.09,6,10,1.0,20230517,3288.0,2800.0,20220519,202305
rr,rr2304,1.0,DCE,3345.0,3367.0,3341.0,3352.0,4083,136939010,10808,3353.0,0.06,0.06,6,10,1.0,20230417,3505.0,3173.0,20220419,202304
RS,RS311,1.0,CZCE,,,,,0,0,3,6022.0,0.2,0.2,2,10,1.0,20231114,6632.0,5426.0,20221115,202311
ru,ru2305,1.0,SHFE,12405.0,12480.0,12350.0,12445.0,202432,25175077700,247150,12435.0,0.1,0.1,6,10,5.0,20230515,13460.0,11465.0,20220517,202305
SA,SA305,1.0,CZCE,2937.0,2956.0,2911.0,2919.0,871588,2558110780,643357,2935.0,0.12,0.12,6,20,1.0,20230517,3171.0,2701.0,20220519,202305
sc,sc2304,1.0,SHFE,568.4,589.7,568.0,582.8,107012,61852790700,32115,577.9,0.15,0.15,3,1000,0.1,20230331,638.9,491.8,20220401,202304
SF,SF305,1.0,CZCE,7954.0,7990.0,7916.0,7932.0,127094,1011668240,166530,7960.0,0.12,0.12,2,5,2.0,20230517,8738.0,7146.0,20220519,202305
SM,SM305,1.0,CZCE,7412.0,7420.0,7370.0,7372.0,94946,701840832,175892,7392.0,0.12,0.12,2,5,2.0,20230517,8136.0,6656.0,20220519,202305
sn,sn2304,1.0,SHFE,199330.0,200750.0,197930.0,199030.0,140625,28058654020,63510,199520.0,0.14,0.14,4,1,10.0,20230417,223440.0,175560.0,20220418,202304
sp,sp2305,1.0,SHFE,6438.0,6458.0,6388.0,6418.0,107636,6916754040,152789,6426.0,0.15,0.15,6,10,2.0,20230515,7228.0,5566.0,20220517,202305
SR,SR305,1.0,CZCE,6117.0,6195.0,6113.0,6169.0,448088,2761118256,528746,6162.0,0.07,0.07,6,10,1.0,20230517,6464.0,5732.0,20220519,202305
ss,ss2304,1.0,SHFE,16330.0,16340.0,16155.0,16190.0,60178,4889678025,70305,16250.0,0.14,0.14,4,5,5.0,20230417,18300.0,14375.0,20220418,202304
T,T2306,1.0,CFFEX,99.97,100.16,99.95,100.14,59660,59689374300,162891,100.125,0.02,0.02,12,10000,0.005,20230609,101.99,98.0,20220913,202306
TA,TA305,1.0,CZCE,5768.0,5832.0,5760.0,5798.0,1507602,8750122008,1589604,5804.0,0.07,0.07,6,5,2.0,20230517,6090.0,5398.0,20220519,202305
TF,TF2306,1.0,CFFEX,100.72,100.835,100.7,100.815,51768,52161433100,98734,100.81,0.012,0.012,12,10000,0.005,20230609,101.925,99.515,20220913,202306
TS,TS2306,1.0,CFFEX,100.7,100.76,100.695,100.745,39157,78876580700,55048,100.745,0.005,0.005,12,20000,0.005,20230609,101.2,100.2,20220913,202306
UR,UR305,1.0,CZCE,2510.0,2540.0,2504.0,2520.0,169018,426094378,189123,2521.0,0.08,0.08,2,20,1.0,20230517,2669.0,2319.0,20220519,202305
v,v2305,1.0,DCE,6408.0,6485.0,6400.0,6461.0,735818,23737021220,657924,6451.0,0.11,0.11,6,5,1.0,20230517,6923.0,5899.0,20220519,202305
WH,WH303,1.0,CZCE,,,,,0,0,0,3050.0,0.2,0.2,2,20,1.0,20230314,3264.0,2836.0,20220315,202303
wr,wr2305,1.0,SHFE,4918.0,4934.0,4890.0,4920.0,21,1032470,44,4916.0,0.13,0.13,2,10,1.0,20230515,5437.0,4360.0,20220517,202305
y,y2305,1.0,DCE,8864.0,8900.0,8854.0,8882.0,359085,31871204480,476053,8874.0,0.09,0.09,6,10,2.0,20230517,9690.0,8258.0,20220519,202305
ZC,ZC303,1.0,CZCE,,,,,0,0,0,801.0,0.5,0.5,6,100,0.2,20230307,961.2,640.8,20220308,202303
zn,zn2304,1.0,SHFE,23230.0,23570.0,23190.0,23480.0,89335,10465435400,83855,23425.0,0.14,0.14,4,5,5.0,20230417,26170.0,20565.0,20220418,202304
