Ticker,Instrument,AdjFactor,Exchange,Open,High,Low,Close,Volume,Turnover,OpenInt,Settlement,MarginShort,MarginLong,MarketType,Multiplier,TickSize,DelistDate,LimitUp,LimitDown,ListDate,DeliveryMonth
a,a2305,1.0,DCE,5434.0,5580.0,5432.0,5573.0,166685,9205040580,136536,5522.0,0.12,0.12,6,10,1.0,20230517,5875.0,5005.0,20220519,202305
ag,ag2306,1.0,SHFE,4797.0,4814.0,4773.0,4783.0,600322,43147407840,680983,4791.0,0.12,0.12,3,15,1.0,20230615,5320.0,4353.0,20220616,202306
al,al2304,1.0,SHFE,18550.0,18620.0,18450.0,18495.0,127057,11764136525,186025,18515.0,0.12,0.12,4,5,5.0,20230417,20360.0,16655.0,20220418,202304
AP,AP305,1.0,CZCE,9092.0,9150.0,8832.0,8845.0,229437,2058279327,213560,8971.0,0.1,0.1,2,10,1.0,20230517,9892.0,8258.0,20220519,202305
au,au2304,1.0,SHFE,413.96,414.62,413.26,414.02,45268,18740517880,53561,413.98,0.1,0.1,3,1000,0.02,20230417,448.74,382.26,20220316,202304
b,b2304,1.0,DCE,4530.0,4570.0,4511.0,4553.0,43171,1960567590,34624,4541.0,0.09,0.09,6,10,1.0,20230417,4890.0,4166.0,20220419,202304
bb,bb2303,1.0,DCE,,,,400.0,0,0,0,400.0,0.4,0.4,2,500,0.05,20230314,440.0,360.0,20220315,202303
bc,bc2305,1.0,SHFE,61460.0,62200.0,61400.0,61720.0,12455,3849415100,12777,61810.0,0.12,0.12,4,5,10.0,20230515,67560.0,55270.0,20220517,202305
bu,bu2306,1.0,SHFE,3914.0,3925.0,3880.0,3919.0,240801,9406490270,367492,3906.0,0.15,0.15,6,10,1.0,20230615,4411.0,3396.0,20210616,202306
c,c2305,1.0,DCE,2850.0,2853.0,2835.0,2840.0,188189,5349055430,650497,2842.0,0.12,0.12,6,10,1.0,20230517,3078.0,2622.0,20220519,202305
CF,CF305,1.0,CZCE,14650.0,14750.0,14475.0,14485.0,452096,6609643520,632777,14620.0,0.07,0.07,6,5,5.0,20230517,15530.0,13770.0,20220519,202305
CJ,CJ305,1.0,CZCE,10220.0,10240.0,10045.0,10055.0,28438,287934750,59060,10125.0,0.12,0.12,2,5,5.0,20230517,11250.0,9200.0,20220519,202305
cs,cs2305,1.0,DCE,3100.0,3103.0,3081.0,3091.0,86853,2684052450,182762,3090.0,0.09,0.09,6,10,1.0,20230517,3308.0,2876.0,20220519,202305
cu,cu2304,1.0,SHFE,69160.0,69700.0,68910.0,69290.0,76750,26597406400,144010,69300.0,0.12,0.12,4,5,10.0,20230417,75840.0,62050.0,20220418,202304
CY,CY305,1.0,CZCE,21885.0,22030.0,21595.0,21630.0,4292,93866040,2914,21870.0,0.07,0.07,6,5,5.0,20230517,23175.0,20545.0,20220519,202305
eb,eb2304,1.0,DCE,8563.0,8583.0,8449.0,8507.0,190753,8105712235,141101,8498.0,0.12,0.12,6,5,1.0,20230425,9413.0,7703.0,20220427,202304
eg,eg2305,1.0,DCE,4203.0,4210.0,4161.0,4170.0,278668,11651541230,414975,4181.0,0.12,0.12,6,10,1.0,20230526,4666.0,3818.0,20220527,202305
fb,fb2305,1.0,DCE,1225.0,1239.5,1225.0,1239.5,677,8366670,1831,1235.5,0.1,0.1,2,10,0.5,20230517,1300.5,1177.5,20220519,202305
FG,FG305,1.0,CZCE,1584.0,1584.0,1554.0,1572.0,909213,1424736771,895595,1567.0,0.09,0.09,6,20,1.0,20230517,1717.0,1461.0,20220519,202305
fu,fu2305,1.0,SHFE,3033.0,3042.0,2990.0,3017.0,982904,29616081820,345191,3013.0,0.15,0.15,6,10,1.0,20230428,3463.0,2666.0,20220505,202305
hc,hc2305,1.0,SHFE,4356.0,4412.0,4317.0,4402.0,561478,24474719550,899075,4358.0,0.13,0.13,6,10,1.0,20230515,4820.0,3865.0,20220517,202305
i,i2305,1.0,DCE,913.0,919.0,897.0,916.5,719214,65394464350,852878,909.0,0.13,0.13,6,100,0.5,20230517,1011.0,811.0,20220519,202305
IC,IC2303,1.0,CFFEX,6300.0,6300.0,6244.0,6278.2,44396,55713450560,105030,6279.4,0.14,0.14,11,200,0.2,20230317,6912.8,5656.0,20220718,202303
IF,IF2303,1.0,CFFEX,4037.0,4043.6,3998.6,4023.0,64588,77983638840,100437,4024.6,0.12,0.12,11,300,0.2,20230317,4431.0,3625.4,20220718,202303
IH,IH2303,1.0,CFFEX,2696.0,2697.4,2659.4,2675.4,44441,35735640720,69052,2675.8,0.12,0.12,11,300,0.2,20230317,2959.0,2421.0,20220718,202303
IM,IM2303,1.0,CFFEX,6876.0,6888.2,6833.0,6878.6,32424,44538302720,61128,6878.0,0.15,0.15,11,200,0.2,20230317,7552.2,6179.4,20220722,202303
j,j2305,1.0,DCE,2894.5,2902.0,2824.0,2887.5,47671,13624140400,38099,2857.5,0.2,0.2,6,100,0.5,20230517,3340.5,2469.5,20220519,202305
jd,jd2305,1.0,DCE,4405.0,4423.0,4385.0,4397.0,54124,2384236110,123612,4405.0,0.09,0.09,2,10,1.0,20230526,4752.0,4048.0,20220527,202305
jm,jm2305,1.0,DCE,1983.0,1983.0,1934.5,1966.0,60740,7127737830,78236,1955.5,0.2,0.2,6,60,0.5,20230517,2275.0,1682.0,20220519,202305
JR,JR303,1.0,CZCE,,,,,0,0,0,2662.0,0.2,0.2,2,20,1.0,20230314,3035.0,2289.0,20220315,202303
l,l2305,1.0,DCE,8292.0,8293.0,8193.0,8222.0,304117,12516983995,375153,8231.0,0.11,0.11,6,5,1.0,20230517,8942.0,7618.0,20220519,202305
lh,lh2305,1.0,DCE,16570.0,16570.0,16255.0,16280.0,21157,5543225680,52864,16375.0,0.15,0.15,2,16,5.0,20230526,18015.0,15355.0,20220527,202305
LR,LR303,1.0,CZCE,,,,,0,0,0,2360.0,0.2,0.2,2,20,1.0,20230314,2691.0,2029.0,20220315,202303
lu,lu2305,1.0,SHFE,4090.0,4094.0,3983.0,4035.0,69705,2803300550,23441,4021.0,0.15,0.15,6,10,1.0,20230428,4653.0,3582.0,20220505,202305
m,m2305,1.0,DCE,3795.0,3828.0,3793.0,3820.0,527622,20115640610,1197897,3812.0,0.1,0.1,6,10,1.0,20230517,4104.0,3496.0,20220519,202305
MA,MA305,1.0,CZCE,2576.0,2587.0,2561.0,2575.0,1204824,3100012152,1279982,2573.0,0.08,0.08,6,10,1.0,20230517,2784.0,2418.0,20220519,202305
ni,ni2304,1.0,SHFE,186500.0,189170.0,184600.0,186510.0,111131,20790054590,70346,187070.0,0.19,0.19,4,1,10.0,20230417,219660.0,155830.0,20220418,202304
nr,nr2306,1.0039800995024875,SHFE,10055.0,10075.0,9910.0,9935.0,35586,3554087350,55662,9985.0,0.1,0.1,6,10,5.0,20230615,10895.0,9280.0,20220616,202306
OI,OI305,1.0,CZCE,9665.0,9689.0,9533.0,9564.0,395894,3806124916,297349,9614.0,0.09,0.09,6,10,1.0,20230517,10483.0,8929.0,20220519,202305
p,p2305,1.0,DCE,8046.0,8094.0,8004.0,8070.0,514415,41419004140,473046,8050.0,0.12,0.12,6,10,2.0,20230517,8884.0,7272.0,20220519,202305
