Ticker,Instrument,AdjFactor,Exchange,Open,High,Low,Close,Volume,Turnover,OpenInt,Settlement,MarginShort,MarginLong,MarketType,Multiplier,TickSize,DelistDate,LimitUp,LimitDown,ListDate,DeliveryMonth
a,a2305,1.0,DCE,5550.0,5554.0,5505.0,5505.0,62749,3463961040,151524,5520.0,0.12,0.12,6,10,1.0,20230517,5975.0,5091.0,20220519,202305
ag,ag2306,1.0,SHFE,4933.0,4986.0,4918.0,4978.0,701806,52134688665,620338,4952.0,0.12,0.12,3,15,1.0,20230615,5398.0,4417.0,20220616,202306
al,al2304,1.0,SHFE,18775.0,18785.0,18525.0,18590.0,156353,14589013000,193121,18660.0,0.12,0.12,4,5,5.0,20230417,20520.0,16785.0,20220418,202304
AP,AP305,1.0,CZCE,9030.0,9184.0,8953.0,9100.0,249481,2262792670,219389,9070.0,0.1,0.1,2,10,1.0,20230517,9948.0,8304.0,20220519,202305
au,au2304,1.0,SHFE,416.4,418.64,415.54,418.44,64803,27022191640,64044,416.98,0.1,0.1,3,1000,0.02,20230417,447.86,381.52,20220316,202304
b,b2304,1.0,DCE,4570.0,4578.0,4522.0,4526.0,70289,3200977980,41443,4554.0,0.09,0.09,6,10,1.0,20230417,4914.0,4186.0,20220419,202304
bb,bb2303,1.0,DCE,,,,400.0,0,0,0,400.0,0.4,0.4,2,500,0.05,20230314,440.0,360.0,20220315,202303
bc,bc2305,1.0,SHFE,62330.0,62380.0,61760.0,61860.0,8413,2609746550,12932,62040.0,0.12,0.12,4,5,10.0,20230515,68120.0,55730.0,20220517,202305
bu,bu2306,1.0,SHFE,3930.0,3965.0,3878.0,3917.0,353329,13827695480,374718,3913.0,0.15,0.15,6,10,1.0,20230615,4405.0,3392.0,20210616,202306
c,c2305,1.0,DCE,2838.0,2860.0,2823.0,2824.0,365055,10366969860,681898,2839.0,0.12,0.12,6,10,1.0,20230517,3069.0,2615.0,20220519,202305
CF,CF305,1.0,CZCE,14705.0,14780.0,14610.0,14690.0,369154,5422872260,663199,14690.0,0.07,0.07,6,5,5.0,20230517,15600.0,13830.0,20220519,202305
CJ,CJ305,1.0,CZCE,10180.0,10315.0,10025.0,10255.0,29867,305539410,59118,10230.0,0.12,0.12,2,5,5.0,20230517,11320.0,9260.0,20220519,202305
cs,cs2305,1.0,DCE,3049.0,3090.0,3028.0,3046.0,166963,5108302600,199914,3059.0,0.09,0.09,6,10,1.0,20230517,3274.0,2846.0,20220519,202305
cu,cu2304,1.0,SHFE,69820.0,69900.0,69300.0,69310.0,55739,19375610750,145748,69520.0,0.12,0.12,4,5,10.0,20230417,76320.0,62450.0,20220418,202304
CY,CY305,1.0,CZCE,21975.0,22090.0,21770.0,21900.0,6464,141787840,3169,21935.0,0.07,0.07,6,5,5.0,20230517,23070.0,20450.0,20220519,202305
eb,eb2304,1.0,DCE,8615.0,8615.0,8462.0,8527.0,241062,10269945785,144366,8520.0,0.12,0.12,6,5,1.0,20230425,9386.0,7680.0,20220427,202304
eg,eg2305,1.0,DCE,4330.0,4340.0,4242.0,4288.0,417383,17887521610,368151,4285.0,0.12,0.12,6,10,1.0,20230526,4755.0,3891.0,20220527,202305
fb,fb2305,1.0,DCE,1251.0,1252.5,1247.5,1249.5,476,5946335,1583,1249.0,0.1,0.1,2,10,0.5,20230517,1310.0,1186.0,20220519,202305
FG,FG305,1.0,CZCE,1548.0,1579.0,1536.0,1578.0,1060087,1647375198,1006324,1554.0,0.09,0.09,6,20,1.0,20230517,1670.0,1422.0,20220519,202305
fu,fu2305,1.0,SHFE,3035.0,3085.0,3005.0,3039.0,1057553,32126989270,377163,3037.0,0.15,0.15,6,10,1.0,20230428,3406.0,2623.0,20220505,202305
hc,hc2305,1.0,SHFE,4358.0,4378.0,4290.0,4325.0,480884,20809804850,857452,4327.0,0.13,0.13,6,10,1.0,20230515,4826.0,3869.0,20220517,202305
i,i2305,1.0,DCE,910.0,912.5,884.5,897.0,801270,71919729450,826511,897.5,0.13,0.13,6,100,0.5,20230517,1017.0,816.0,20220519,202305
IC,IC2303,1.0,CFFEX,6372.0,6396.4,6336.8,6364.0,45103,57410190480,123011,6368.8,0.14,0.14,11,200,0.2,20230317,7012.0,5737.2,20220718,202303
IF,IF2303,1.0,CFFEX,4132.2,4135.0,4086.4,4103.0,67917,83685204480,110599,4106.4,0.12,0.12,11,300,0.2,20230317,4551.0,3723.8,20220718,202303
IH,IH2303,1.0,CFFEX,2773.0,2777.0,2736.8,2745.2,43246,35685273300,73756,2747.2,0.12,0.12,11,300,0.2,20230317,3059.8,2503.8,20220718,202303
IM,IM2303,1.0,CFFEX,6949.0,6990.8,6902.2,6956.4,31889,44292080000,62252,6962.0,0.15,0.15,11,200,0.2,20230317,7636.4,6248.0,20220722,202303
j,j2305,1.0,DCE,2957.5,2965.5,2887.0,2926.0,41553,12149001350,42116,2923.5,0.2,0.2,6,100,0.5,20230517,3395.0,2510.0,20220519,202305
jd,jd2305,1.0,DCE,4417.0,4417.0,4337.0,4357.0,93828,4096956350,128058,4366.0,0.09,0.09,2,10,1.0,20230526,4748.0,4046.0,20220527,202305
jm,jm2305,1.0,DCE,2002.5,2015.0,1961.0,1980.0,59438,7085268990,82705,1986.5,0.2,0.2,6,60,0.5,20230517,2302.5,1702.5,20220519,202305
JR,JR303,1.0,CZCE,,,,,0,0,0,2662.0,0.2,0.2,2,20,1.0,20230314,3035.0,2289.0,20220315,202303
l,l2305,1.0,DCE,8360.0,8371.0,8276.0,8313.0,369816,15393252145,409544,8324.0,0.11,0.11,6,5,1.0,20230517,9015.0,7681.0,20220519,202305
lh,lh2305,1.0,DCE,17075.0,17135.0,16750.0,16755.0,26347,7141857520,51513,16940.0,0.15,0.15,2,16,5.0,20230526,18400.0,15680.0,20220527,202305
LR,LR303,1.0,CZCE,,,,,0,0,0,2360.0,0.2,0.2,2,20,1.0,20230314,2691.0,2029.0,20220315,202303
lu,lu2305,1.0,SHFE,4031.0,4098.0,3953.0,4063.0,102008,4103946960,25849,4023.0,0.15,0.15,6,10,1.0,20230428,4576.0,3523.0,20220505,202305
m,m2305,1.0,DCE,3770.0,3786.0,3765.0,3782.0,467280,17650770450,1273538,3777.0,0.1,0.1,6,10,1.0,20230517,4056.0,3456.0,20220519,202305
MA,MA305,1.0,CZCE,2603.0,2610.0,2577.0,2602.0,1554149,4029908357,1338419,2593.0,0.08,0.08,6,10,1.0,20230517,2777.0,2413.0,20220519,202305
ni,ni2304,1.0,SHFE,188090.0,190980.0,187330.0,188620.0,111127,21054837110,75865,189460.0,0.19,0.19,4,1,10.0,20230417,218390.0,154920.0,20220418,202304
nr,nr2305,1.0,SHFE,10260.0,10265.0,10105.0,10135.0,32645,3314834700,55094,10150.0,0.1,0.1,6,10,5.0,20230515,11095.0,9450.0,20220517,202305
OI,OI305,1.0,CZCE,10041.0,10057.0,9826.0,9832.0,376390,3742069380,254116,9942.0,0.09,0.09,6,10,1.0,20230517,10799.0,9199.0,20220519,202305
p,p2305,1.0,DCE,8424.0,8424.0,8238.0,8250.0,614818,51207792120,473504,8328.0,0.12,0.12,6,10,2.0,20230517,9244.0,7564.0,20220519,202305
pb,pb2304,1.0,SHFE,15310.0,15315.0,15235.0,15285.0,31875,2435489650,61073,15280.0,0.14,0.14,4,5,5.0,20230417,17100.0,13435.0,20220418,202304
PF,PF304,1.0,CZCE,7320.0,7342.0,7264.0,7332.0,128735,940280440,88421,7304.0,0.08,0.08,6,5,2.0,20230417,7822.0,6798.0,20220419,202304
pg,pg2304,1.0,DCE,5080.0,5143.0,5034.0,5068.0,123621,12567400760,61796,5083.0,0.13,0.13,6,20,1.0,20230425,5615.0,4503.0,20220427,202304
PK,PK304,1.0,CZCE,11212.0,11256.0,11038.0,11104.0,136152,1517822496,106023,11148.0,0.08,0.08,2,5,2.0,20230417,11938.0,10374.0,20220419,202304
PM,PM303,1.0,CZCE,,,,,0,0,0,3122.0,0.2,0.2,2,50,1.0,20230314,3560.0,2684.0,20220315,202303
pp,pp2305,1.0,DCE,7880.0,7925.0,7828.0,7892.0,515490,20288972500,428551,7871.0,0.11,0.11,6,5,1.0,20230517,8501.0,7243.0,20220519,202305
rb,rb2305,1.0,SHFE,4260.0,4270.0,4175.0,4210.0,1762004,74243548600,1961814,4213.0,0.13,0.13,6,10,1.0,20230515,4716.0,3781.0,20220517,202305
RI,RI303,1.0,CZCE,,,,,0,0,0,2479.0,0.2,0.2,2,20,1.0,20230314,2827.0,2131.0,20220315,202303
