Ticker,Instrument,AdjFactor,Exchange,Open,High,Low,Close,Volume,Turnover,OpenInt,Settlement,MarginShort,MarginLong,MarketType,Multiplier,TickSize,DelistDate,LimitUp,LimitDown,ListDate,DeliveryMonth
a,a2305,1.0,DCE,5580.0,5588.0,5556.0,5569.0,62594,3488458230,158890,5573.0,0.12,0.12,6,10,1.0,20230517,6015.0,5125.0,20220519,202305
ag,ag2306,1.0,SHFE,4924.0,4935.0,4885.0,4890.0,646690,47664212100,630533,4913.0,0.12,0.12,3,15,1.0,20230615,5395.0,4414.0,20220616,202306
al,al2304,1.0,SHFE,18685.0,18730.0,18610.0,18650.0,131543,12277469000,195704,18665.0,0.12,0.12,4,5,5.0,20230417,20405.0,16695.0,20220418,202304
AP,AP305,1.0,CZCE,9125.0,9195.0,9095.0,9167.0,138684,1268542548,210888,9147.0,0.1,0.1,2,10,1.0,20230517,9904.0,8268.0,20220519,202305
au,au2304,1.0,SHFE,412.98,413.9,412.58,413.62,81946,33862407360,67693,413.22,0.1,0.1,3,1000,0.02,20230417,446.34,380.2,20220316,202304
b,b2304,1.0,DCE,4536.0,4567.0,4534.0,4542.0,43417,1975061200,45273,4549.0,0.09,0.09,6,10,1.0,20230417,4911.0,4185.0,20220419,202304
bb,bb2303,1.0,DCE,,,,400.0,0,0,0,400.0,0.4,0.4,2,500,0.05,20230314,440.0,360.0,20220315,202303
bc,bc2305,1.003221649484536,SHFE,62550.0,62800.0,62320.0,62360.0,8920,2790305650,13440,62560.0,0.12,0.12,4,5,10.0,20230515,68500.0,56050.0,20220517,202305
bu,bu2306,1.0,SHFE,3768.0,3880.0,3758.0,3874.0,385744,14773441220,354649,3829.0,0.15,0.15,6,10,1.0,20230615,4251.0,3272.0,20210616,202306
c,c2305,1.0,DCE,2852.0,2852.0,2840.0,2848.0,176730,5029954390,637880,2846.0,0.12,0.12,6,10,1.0,20230517,3075.0,2621.0,20220519,202305
CF,CF305,1.0,CZCE,14465.0,14735.0,14440.0,14710.0,473627,6896009120,675428,14560.0,0.07,0.07,6,5,5.0,20230517,15270.0,13540.0,20220519,202305
CJ,CJ305,1.0,CZCE,10330.0,10375.0,10280.0,10345.0,17731,183072575,57193,10325.0,0.12,0.12,2,5,5.0,20230517,11350.0,9280.0,20220519,202305
cs,cs2305,1.0,DCE,3058.0,3075.0,3044.0,3071.0,98816,3024898410,210918,3061.0,0.09,0.09,6,10,1.0,20230517,3263.0,2837.0,20220519,202305
cu,cu2304,1.0,SHFE,70160.0,70260.0,69730.0,69780.0,62414,21836260000,154676,69970.0,0.12,0.12,4,5,10.0,20230417,76630.0,62700.0,20220418,202304
CY,CY305,1.0,CZCE,21485.0,21715.0,21445.0,21705.0,3833,82620315,3512,21555.0,0.07,0.07,6,5,5.0,20230517,22745.0,20165.0,20220519,202305
eb,eb2304,1.0,DCE,8550.0,8595.0,8514.0,8569.0,143742,6152196510,157324,8560.0,0.12,0.12,6,5,1.0,20230425,9383.0,7677.0,20220427,202304
eg,eg2305,1.0,DCE,4345.0,4382.0,4320.0,4330.0,269633,11717275340,361279,4345.0,0.12,0.12,6,10,1.0,20230526,4778.0,3910.0,20220527,202305
fb,fb2305,1.0,DCE,1250.0,1253.5,1246.5,1248.0,1011,12634195,1588,1249.5,0.1,0.1,2,10,0.5,20230517,1310.0,1186.0,20220519,202305
FG,FG305,1.0,CZCE,1530.0,1544.0,1527.0,1539.0,654835,1005826560,1047013,1536.0,0.09,0.09,6,20,1.0,20230517,1640.0,1396.0,20220519,202305
fu,fu2305,1.0,SHFE,2912.0,2989.0,2904.0,2971.0,949100,27983355070,358364,2948.0,0.15,0.15,6,10,1.0,20230428,3318.0,2555.0,20220505,202305
hc,hc2305,1.0,SHFE,4304.0,4329.0,4291.0,4320.0,260464,11234583170,850915,4313.0,0.13,0.13,6,10,1.0,20230515,4758.0,3815.0,20220517,202305
